"","date","state","diff"
"594",2020-03-11,"CO",16
"595",2020-03-12,"CO",15
"596",2020-03-13,"CO",31
"597",2020-03-14,"CO",25
"598",2020-03-15,"CO",-2
"599",2020-03-16,"CO",33
"600",2020-03-17,"CO",35
"601",2020-03-18,"CO",51
"602",2020-03-19,"CO",59
"603",2020-03-20,"CO",86
"604",2020-03-21,"CO",112
"605",2020-03-22,"CO",116
"606",2020-03-23,"CO",113
"607",2020-03-24,"CO",19
"608",2020-03-25,"CO",298
"609",2020-03-26,"CO",409
"610",2020-03-27,"CO",3
"611",2020-03-28,"CO",307
"612",2020-03-29,"CO",567
"613",2020-03-30,"CO",4
"614",2020-03-31,"CO",655
"615",2020-04-01,"CO",16
"616",2020-04-02,"CO",360
"617",2020-04-03,"CO",400
"618",2020-04-04,"CO",446
"619",2020-04-05,"CO",762
"620",2020-04-06,"CO",233
"621",2020-04-07,"CO",246
"622",2020-04-08,"CO",226
"623",2020-04-09,"CO",0
"624",2020-04-10,"CO",547
"625",2020-04-11,"CO",311
"626",2020-04-12,"CO",794
"627",2020-04-13,"CO",384
"628",2020-04-14,"CO",259
"629",2020-04-15,"CO",6
"630",2020-04-16,"CO",330
"631",2020-04-17,"CO",405
"632",2020-04-18,"CO",356
"633",2020-04-19,"CO",683
"634",2020-04-20,"CO",0
"635",2020-04-21,"CO",743
"636",2020-04-22,"CO",418
"637",2020-04-23,"CO",387
"638",2020-04-24,"CO",978
"639",2020-04-25,"CO",712
"640",2020-04-26,"CO",473
"641",2020-04-27,"CO",438
"642",2020-04-28,"CO",437
"643",2020-04-29,"CO",442
"644",2020-04-30,"CO",526
"645",2020-05-01,"CO",509
"646",2020-05-02,"CO",432
"647",2020-05-03,"CO",410
"648",2020-05-04,"CO",283
"649",2020-05-05,"CO",449
"650",2020-05-06,"CO",465
"651",2020-05-07,"CO",538
"652",2020-05-08,"CO",457
"653",2020-05-09,"CO",548
"654",2020-05-10,"CO",328
"655",2020-01-23,"CT",0
"656",2020-01-24,"CT",0
"657",2020-01-25,"CT",0
"658",2020-01-26,"CT",0
"659",2020-01-27,"CT",0
"660",2020-01-28,"CT",0
"661",2020-01-29,"CT",0
"662",2020-01-30,"CT",0
"663",2020-01-31,"CT",0
"664",2020-02-01,"CT",0
"665",2020-02-02,"CT",0
"666",2020-02-03,"CT",0
"667",2020-02-04,"CT",0
"668",2020-02-05,"CT",0
"669",2020-02-06,"CT",0
"670",2020-02-07,"CT",0
"671",2020-02-08,"CT",0
"672",2020-02-09,"CT",0
"673",2020-02-10,"CT",0
"674",2020-02-11,"CT",0
"675",2020-02-12,"CT",0
"676",2020-02-13,"CT",0
"677",2020-02-14,"CT",0
"678",2020-02-15,"CT",0
"679",2020-02-16,"CT",0
"680",2020-02-17,"CT",0
"681",2020-02-18,"CT",0
"682",2020-02-19,"CT",0
"683",2020-02-20,"CT",0
"684",2020-02-21,"CT",0
"685",2020-02-22,"CT",0
"686",2020-02-23,"CT",0
"687",2020-02-24,"CT",0
"688",2020-02-25,"CT",0
"689",2020-02-26,"CT",0
"690",2020-02-27,"CT",0
"691",2020-02-28,"CT",0
"692",2020-02-29,"CT",0
"693",2020-03-01,"CT",0
"694",2020-03-02,"CT",0
"695",2020-03-03,"CT",0
"696",2020-03-04,"CT",0
"697",2020-03-05,"CT",0
"698",2020-03-06,"CT",0
"699",2020-03-07,"CT",0
"700",2020-03-08,"CT",0
"701",2020-03-09,"CT",0
"702",2020-03-10,"CT",1
"703",2020-03-11,"CT",2
"704",2020-03-12,"CT",2
"705",2020-03-13,"CT",6
"706",2020-03-14,"CT",12
"707",2020-03-15,"CT",1
"708",2020-03-16,"CT",17
"709",2020-03-17,"CT",27
"710",2020-03-18,"CT",28
"711",2020-03-19,"CT",63
"712",2020-03-20,"CT",35
"713",2020-03-21,"CT",0
"714",2020-03-22,"CT",133
"715",2020-03-23,"CT",88
"716",2020-03-24,"CT",203
"717",2020-03-25,"CT",257
"718",2020-03-26,"CT",137
"719",2020-03-27,"CT",279
"720",2020-03-28,"CT",233
"721",2020-03-29,"CT",469
"722",2020-03-30,"CT",578
"723",2020-03-31,"CT",557
"724",2020-04-01,"CT",429
"725",2020-04-02,"CT",267
"726",2020-04-03,"CT",1090
"727",2020-04-04,"CT",362
"728",2020-04-05,"CT",399
"729",2020-04-06,"CT",1231
"730",2020-04-07,"CT",875
"731",2020-04-08,"CT",0
"732",2020-04-09,"CT",2003
"733",2020-04-10,"CT",754
"734",2020-04-11,"CT",972
